post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class
"Guante látex quirúrgico estéril con polvo - Top Glove - Varias tallas",guante-latex-quirurgico-con-polvo,,998,"El guante quirúrgico estéril de látex levemente empolvado tiene características anatómicas premium que no agotan la mano del usuario permitiendo un uso prolongado en el tiempo, su alta elasticidad y resistencia permite su uso en intervenciones quirúrgicas asegurando la mantención de su estructura.

Color: Blanco Natural

Presentacion: 50 pares por caja. Cada par en sobre esteril

&nbsp;","Guante látex quirúrgico estéril ligeramente empolvado",publish,,0,"2024-01-22 16:15:46",1,open,,,1172|1173|1174|1175|1176|1177,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://www.farmanostica.cl/wp-content/uploads/2024/01/guante-quirurgico-esteril-con-polvo_1.jpg ! alt : Guante látex quirúrgico estéril ligeramente empolvado 6.5 - Top Glove ! title : ACGQUTG2 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/guante-latex-quirurgico-con-polvo/,0,grouped,featured,"Insumos Médicos > Guantes > Con Polvo|Insumos Médicos > Guantes > Estériles|Insumos Médicos > Guantes|Insumos Médicos > Guantes > Látex|Insumos Médicos > Guantes > Top Glove","con polvo|descartable|esteril|guante|latex",
"Guante látex quirúrgico estéril sin polvo – Top Glove - Varias tallas",guante-latex-quirurgico-sin-polvo,,1120,"Los guantes quirúrgicos de látex estéril sin polvo son una excelente barrera física, con un calce cómodo y flexible durante horas en un pabellón.  Con una tecnología sin polvo acorde al Warning de la FDA permite al usuario usar látex sin que esta proteína se impacte en el estrato corneo de la piel y produzca dermatitis de contacto.

Color: Blanco Natural

Presentacion: 50 pares por caja. Cada par en sobre esteril","Descripción corta",publish,,0,"2024-02-24 19:14:57",1,open,,,1179|1180|1181|1182|1183|1184,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://www.farmanostica.cl/wp-content/uploads/2024/02/guante-latex-quirurgico-esteril-sin-polvo-registro-dm-44717.jpg ! alt : Guante látex quirúrgico estéril sin polvo 6.5 – Top Glove ! title : guante-latex-quirurgico-esteril-sin-polvo-registro-dm-44717 ! desc :  ! caption : ",,https://www.farmanostica.cl/product/guante-latex-quirurgico-sin-polvo/,0,grouped,featured,"Insumos Médicos > Guantes > Estériles|Insumos Médicos > Guantes|Insumos Médicos > Guantes > Látex|Insumos Médicos > Guantes > Sin Polvo|Insumos Médicos > Guantes > Top Glove","descartable|esteril|guante|latex|sin polvo",
6.0,guante-latex-quirurgico-con-polvo-1,,1172,,,publish,,0,"2024-03-18 23:06:39",2,open,ACGQUTG1,,,no,no,16,20850,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://www.farmanostica.cl/product/guante-latex-quirurgico-con-polvo-1/,0,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,
6.5,guante-latex-quirurgico-con-polvo2,,1173,,,publish,,0,"2024-03-18 23:06:54",2,open,ACGQUTG2,,,no,no,16,20850,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://www.farmanostica.cl/product/guante-latex-quirurgico-con-polvo2/,0,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,
7.0,guante-latex-quirurgico-con-polvo3,,1174,,,publish,,0,"2024-03-18 23:07:31",2,open,ACGQUTG3,,,no,no,16,20850,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://www.farmanostica.cl/product/guante-latex-quirurgico-con-polvo3/,0,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,
7.5,guante-latex-quirurgico-con-polvo4,,1175,,,publish,,0,"2024-03-18 23:08:05",2,open,ACGQUTG4,,,no,no,16,20850,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://www.farmanostica.cl/product/guante-latex-quirurgico-con-polvo4/,0,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,
8.0,guante-latex-quirurgico-con-polvo5,,1176,,,publish,,0,"2024-03-18 23:08:27",2,open,ACGQUTG5,,,no,no,16,20850,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://www.farmanostica.cl/product/guante-latex-quirurgico-con-polvo5/,0,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,
8.5,guante-latex-quirurgico-con-polvo6,,1177,,,publish,,0,"2024-03-18 23:08:52",2,open,ACGQUTG6,,,no,no,16,20850,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://www.farmanostica.cl/product/guante-latex-quirurgico-con-polvo6/,0,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,
6.0,guante-latex-quirurgico-sin-polvo1,,1179,,,publish,,0,"2024-03-18 23:26:39",2,open,ACGQULP1,,,no,no,16,23350,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://www.farmanostica.cl/product/guante-latex-quirurgico-sin-polvo1/,0,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,
6.5,guante-latex-quirurgico-sin-polvo2,,1180,,,publish,,0,"2024-03-18 23:27:13",2,open,ACGQULP2,,,no,no,16,23350,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://www.farmanostica.cl/product/guante-latex-quirurgico-sin-polvo2/,0,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,
7.0,guante-latex-quirurgico-sin-polvo3,,1181,,,publish,,0,"2024-03-18 23:27:52",2,open,ACGQULP3,,,no,no,16,23350,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://www.farmanostica.cl/product/guante-latex-quirurgico-sin-polvo3/,0,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,
7.5,guante-latex-quirurgico-sin-polvo4,,1182,,,publish,,0,"2024-03-18 23:28:18",2,open,ACGQULP4,,,no,no,16,23350,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://www.farmanostica.cl/product/guante-latex-quirurgico-sin-polvo4/,0,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,
8.0,guante-latex-quirurgico-sin-polvo5,,1183,,,publish,,0,"2024-03-18 23:28:40",2,open,ACGQULP5,,,no,no,16,23350,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://www.farmanostica.cl/product/guante-latex-quirurgico-sin-polvo5/,0,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,
8.5,guante-latex-quirurgico-sin-polvo6,,1184,,,publish,,0,"2024-03-18 23:28:59",2,open,ACGQULP6,,,no,no,16,23350,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,,,https://www.farmanostica.cl/product/guante-latex-quirurgico-sin-polvo6/,0,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,
